issue,prize,hundred,ten,unit
2023001,458,4,5,8
2023002,070,0,7,0
2023003,900,9,0,0
2023004,136,1,3,6
2023005,420,4,2,0
2023006,756,7,5,6
2023007,315,3,1,5
2023008,972,9,7,2
2023009,221,2,2,1
2023010,888,8,8,8
2023011,083,0,8,3
2023012,780,7,8,0
2023013,282,2,8,2
2023014,022,0,2,2
2023015,606,6,0,6
2023016,714,7,1,4
2023017,172,1,7,2
2023018,237,2,3,7
2023019,790,7,9,0
2023020,488,4,8,8
2023021,911,9,1,1
2023022,114,1,1,4
2023023,342,3,4,2
2023024,060,0,6,0
2023025,357,3,5,7
2023026,665,6,6,5
2023027,348,3,4,8
2023028,127,1,2,7
2023029,499,4,9,9
2023030,754,7,5,4
2023031,975,9,7,5
2023032,090,0,9,0
2023033,679,6,7,9
2023034,901,9,0,1
2023035,649,6,4,9
2023036,656,6,5,6
2023037,771,7,7,1
2023038,091,0,9,1
2023039,763,7,6,3
2023040,334,3,3,4
2023041,608,6,0,8
2023042,231,2,3,1
2023043,568,5,6,8
2023044,082,0,8,2
2023045,659,6,5,9
2023046,885,8,8,5
2023047,578,5,7,8
2023048,581,5,8,1
2023049,928,9,2,8
2023050,714,7,1,4
2023051,940,9,4,0
2023052,383,3,8,3
2023053,364,3,6,4
2023054,348,3,4,8
2023055,882,8,8,2
2023056,108,1,0,8
2023057,464,4,6,4
2023058,693,6,9,3
2023059,518,5,1,8
2023060,792,7,9,2
2023061,711,7,1,1
2023062,006,0,0,6
2023063,437,4,3,7
2023064,065,0,6,5
2023065,468,4,6,8
2023066,550,5,5,0
2023067,854,8,5,4
2023068,366,3,6,6
2023069,932,9,3,2
2023070,567,5,6,7
2023071,017,0,1,7
2023072,447,4,4,7
2023073,130,1,3,0
2023074,071,0,7,1
2023075,738,7,3,8
2023076,503,5,0,3
2023077,209,2,0,9
2023078,316,3,1,6
2023079,014,0,1,4
2023080,484,4,8,4
2023081,978,9,7,8
2023082,739,7,3,9
2023083,024,0,2,4
2023084,055,0,5,5
2023085,557,5,5,7
2023086,915,9,1,5
2023087,329,3,2,9
2023088,292,2,9,2
2023089,940,9,4,0
2023090,585,5,8,5
2023091,795,7,9,5
2023092,883,8,8,3
2023093,536,5,3,6
2023094,533,5,3,3
2023095,488,4,8,8
2023096,763,7,6,3
2023097,685,6,8,5
2023098,223,2,2,3
2023099,551,5,5,1
2023100,632,6,3,2
2023101,531,5,3,1
2023102,704,7,0,4
2023103,976,9,7,6
2023104,643,6,4,3
2023105,570,5,7,0
2023106,282,2,8,2
2023107,519,5,1,9
2023108,477,4,7,7
2023109,303,3,0,3
2023110,433,4,3,3
2023111,659,6,5,9
2023112,127,1,2,7
2023113,224,2,2,4
2023114,810,8,1,0
2023115,527,5,2,7
2023116,920,9,2,0
2023117,493,4,9,3
2023118,646,6,4,6
2023119,056,0,5,6
2023120,091,0,9,1
2023121,668,6,6,8
2023122,827,8,2,7
2023123,557,5,5,7
2023124,071,0,7,1
2023125,558,5,5,8
2023126,984,9,8,4
2023127,110,1,1,0
2023128,810,8,1,0
2023129,334,3,3,4
2023130,521,5,2,1
2023131,583,5,8,3
2023132,010,0,1,0
2023133,434,4,3,4
2023134,220,2,2,0
2023135,467,4,6,7
2023136,929,9,2,9
2023137,791,7,9,1
2023138,440,4,4,0
2023139,429,4,2,9
2023140,093,0,9,3
2023141,743,7,4,3
2023142,167,1,6,7
2023143,848,8,4,8
2023144,563,5,6,3
2023145,883,8,8,3
2023146,587,5,8,7
2023147,863,8,6,3
2023148,336,3,3,6
2023149,025,0,2,5
2023150,039,0,3,9
2023151,383,3,8,3
2023152,318,3,1,8
2023153,750,7,5,0
2023154,433,4,3,3
2023155,853,8,5,3
2023156,251,2,5,1
2023157,786,7,8,6
2023158,447,4,4,7
2023159,319,3,1,9
2023160,393,3,9,3
2023161,536,5,3,6
2023162,094,0,9,4
2023163,127,1,2,7
2023164,215,2,1,5
2023165,251,2,5,1
2023166,128,1,2,8
2023167,190,1,9,0
2023168,933,9,3,3
2023169,721,7,2,1
2023170,082,0,8,2
2023171,225,2,2,5
2023172,780,7,8,0
2023173,013,0,1,3
2023174,829,8,2,9
2023175,280,2,8,0
2023176,071,0,7,1
2023177,709,7,0,9
2023178,711,7,1,1
2023179,499,4,9,9
2023180,687,6,8,7
2023181,779,7,7,9
2023182,121,1,2,1
2023183,806,8,0,6
2023184,964,9,6,4
2023185,468,4,6,8
2023186,707,7,0,7
2023187,765,7,6,5
2023188,284,2,8,4
2023189,070,0,7,0
2023190,600,6,0,0
2023191,360,3,6,0
2023192,214,2,1,4
2023193,419,4,1,9
2023194,303,3,0,3
2023195,367,3,6,7
2023196,800,8,0,0
2023197,307,3,0,7
2023198,079,0,7,9
2023199,723,7,2,3
2023200,514,5,1,4
2023201,734,7,3,4
2023202,758,7,5,8
2023203,140,1,4,0
2023204,014,0,1,4
2023205,097,0,9,7
2023206,448,4,4,8
2023207,126,1,2,6
2023208,669,6,6,9
2023209,217,2,1,7
2023210,936,9,3,6
2023211,792,7,9,2
2023212,853,8,5,3
2023213,077,0,7,7
2023214,101,1,0,1
2023215,480,4,8,0
2023216,138,1,3,8
2023217,748,7,4,8
2023218,942,9,4,2
2023219,738,7,3,8
2023220,035,0,3,5
2023221,649,6,4,9
2023222,977,9,7,7
2023223,740,7,4,0
2023224,374,3,7,4
2023225,118,1,1,8
2023226,535,5,3,5
2023227,901,9,0,1
2023228,773,7,7,3
2023229,678,6,7,8
2023230,949,9,4,9
2023231,365,3,6,5
2023232,860,8,6,0
2023233,124,1,2,4
2023234,805,8,0,5
2023235,424,4,2,4
2023236,270,2,7,0
2023237,798,7,9,8
2023238,562,5,6,2
2023239,440,4,4,0
2023240,702,7,0,2
2023241,935,9,3,5
2023242,987,9,8,7
2023243,966,9,6,6
2023244,315,3,1,5
2023245,480,4,8,0
2023246,422,4,2,2
2023247,937,9,3,7
2023248,696,6,9,6
2023249,039,0,3,9
2023250,180,1,8,0
2023251,736,7,3,6
2023252,961,9,6,1
2023253,986,9,8,6
2023254,991,9,9,1
2023255,056,0,5,6
2023256,840,8,4,0
2023257,908,9,0,8
2023258,915,9,1,5
2023259,088,0,8,8
2023260,247,2,4,7
2023261,930,9,3,0
2023262,717,7,1,7
2023263,993,9,9,3
2023264,925,9,2,5
2023265,224,2,2,4
2023266,133,1,3,3
2023267,554,5,5,4
2023268,975,9,7,5
2023269,234,2,3,4
2023270,355,3,5,5
2023271,096,0,9,6
2023272,419,4,1,9
2023273,121,1,2,1
2023274,669,6,6,9
2023275,984,9,8,4
2023276,606,6,0,6
2023277,028,0,2,8
2023278,070,0,7,0
2023279,391,3,9,1
2023280,601,6,0,1
2023281,344,3,4,4
2023282,308,3,0,8
2023283,029,0,2,9
2023284,382,3,8,2
2023285,716,7,1,6
2023286,116,1,1,6
2023287,894,8,9,4
2023288,314,3,1,4
2023289,998,9,9,8
2023290,154,1,5,4
2023291,150,1,5,0
2023292,968,9,6,8
2023293,434,4,3,4
2023294,667,6,6,7
2023295,882,8,8,2
2023296,807,8,0,7
2023297,761,7,6,1
2023298,365,3,6,5
2023299,808,8,0,8
2023300,296,2,9,6
2023301,041,0,4,1
2023302,161,1,6,1
2023303,572,5,7,2
2023304,728,7,2,8
2023305,679,6,7,9
2023306,330,3,3,0
2023307,936,9,3,6
2023308,619,6,1,9
2023309,329,3,2,9
2023310,417,4,1,7
2023311,583,5,8,3
2023312,442,4,4,2
2023313,414,4,1,4
2023314,355,3,5,5
2023315,747,7,4,7
2023316,234,2,3,4
2023317,397,3,9,7
2023318,790,7,9,0
2023319,965,9,6,5
2023320,697,6,9,7
2023321,211,2,1,1
2023322,174,1,7,4
2023323,945,9,4,5
2023324,602,6,0,2
2023325,717,7,1,7
2023326,790,7,9,0
2023327,314,3,1,4
2023328,882,8,8,2
2023329,289,2,8,9
2023330,531,5,3,1
2023331,402,4,0,2
2023332,667,6,6,7
2023333,989,9,8,9
2023334,587,5,8,7
2023335,047,0,4,7
2023336,821,8,2,1
2023337,846,8,4,6
2023338,380,3,8,0
2023339,482,4,8,2
2023340,089,0,8,9
2023341,341,3,4,1
2023342,978,9,7,8
2023343,730,7,3,0
2023344,801,8,0,1
2023345,678,6,7,8
2023346,258,2,5,8
2023347,742,7,4,2
2023348,597,5,9,7
2023349,923,9,2,3
2023350,197,1,9,7
2023351,571,5,7,1
