issue,prize,hundred,ten,unit
2025101,842,8,4,2
2025102,807,8,0,7
2025103,518,5,1,8
2025104,412,4,1,2
2025105,502,5,0,2
2025106,924,9,2,4
2025107,589,5,8,9
2025108,769,7,6,9
2025109,193,1,9,3
2025110,983,9,8,3
2025111,821,8,2,1
2025112,309,3,0,9
2025113,846,8,4,6
2025114,713,7,1,3
2025115,570,5,7,0
2025116,647,6,4,7
2025117,928,9,2,8
2025118,510,5,1,0
2025119,742,7,4,2
2025120,750,7,5,0
2025121,139,1,3,9
2025122,369,3,6,9
2025123,904,9,0,4
2025124,287,2,8,7
2025125,539,5,3,9
2025126,842,8,4,2
2025127,587,5,8,7
2025128,271,2,7,1
2025129,312,3,1,2
2025130,641,6,4,1
2025131,801,8,0,1
2025132,684,6,8,4
2025133,690,6,9,0
2025134,431,4,3,1
2025135,307,3,0,7
2025136,501,5,0,1
2025137,625,6,2,5
2025138,485,4,8,5
2025139,978,9,7,8
2025140,478,4,7,8
2025141,852,8,5,2
2025142,579,5,7,9
2025143,351,3,5,1
2025144,824,8,2,4
2025145,910,9,1,0
2025146,275,2,7,5
2025147,108,1,0,8
2025148,785,7,8,5
2025149,803,8,0,3
2025150,906,9,0,6
预选行1,0,,,
预选行2,0,,,
预选行3,0,,,
期号,试机,,,
百位号码走势,个位号码走势,,,
出现总次数,6,,,
平均遗漏值,13,,,
最大遗漏值,55,,,
最大连出数,2,,,
,,,,
,,,,
,,,,
,,,,
